id,nivel,iso3,pais,departamento,municipio,anio,periodo,causa,sexo,grupo_edad,personas_desplazadas,desplazamiento_stock,duracion_periodo_anios,tipo_fuente,fuente
27878,Regional,COL,Colombia,TOLIMA,ESPINAL,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,213.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27879,Regional,COL,Colombia,TOLIMA,ESPINAL,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,683.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27880,Regional,COL,Colombia,TOLIMA,FALAN,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,2.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27881,Regional,COL,Colombia,TOLIMA,FALAN,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,32.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27882,Regional,COL,Colombia,TOLIMA,FALAN,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,910.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27883,Regional,COL,Colombia,TOLIMA,FALAN,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,927.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27884,Regional,COL,Colombia,TOLIMA,FLANDES,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,0.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27885,Regional,COL,Colombia,TOLIMA,FLANDES,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,1.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27886,Regional,COL,Colombia,TOLIMA,FLANDES,1997,1997-2004,Conflicto armado / violencia,Todos,Todos,69.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27887,Regional,COL,Colombia,TOLIMA,FLANDES,2005,2005-2014,Conflicto armado / violencia,Todos,Todos,202.0,,10,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27888,Regional,COL,Colombia,TOLIMA,FRESNO,1980,1980-1988,Conflicto armado / violencia,Todos,Todos,16.0,,9,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
27889,Regional,COL,Colombia,TOLIMA,FRESNO,1989,1989-1996,Conflicto armado / violencia,Todos,Todos,62.0,,8,Secundaria,CNMH - Desplazamiento forzado histórico por municipios (Una nación desplazada)
